Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
hur länge håller däck,140,18,0.55,0.09,711000,Informational,"FAQ, Featured snippet, People also ask, Video","0.35,0.35,0.81,0.81,0.42,0.35,0.35,0.42,0.42,0.81,1.00,0.27"
it däck,140,17,0.59,0.20,7060000,Informational,"Knowledge panel, Reviews","0.23,0.13,0.54,0.82,0.44,0.28,0.36,0.28,0.18,0.44,1.00,0.54"
kolla lufttryck däck,140,18,0.53,0.22,43600,Informational,"Featured snippet, Image pack, People also ask, Video carousel","0.33,0.43,0.67,1.00,0.52,0.67,0.67,0.67,0.43,0.67,1.00,0.67"
kordväv däck,140,14,0.59,0.07,64,Informational,"Image pack, People also ask, Reviews, Site links","0.41,0.41,0.65,0.82,1.00,0.82,1.00,1.00,1.00,0.65,0.53,0.29"
köpa däck göteborg,140,33,0.73,0.74,712000,Informational,"Featured snippet, Local pack, People also ask, Reviews, Site links","0.54,0.27,0.65,0.81,0.42,0.42,0.42,0.42,0.35,0.65,1.00,0.54"
köpa däck stockholm,140,28,0.88,0.77,2380000,Transactional,"FAQ, Featured snippet, Local pack, People also ask, Reviews, Site links","0.27,0.27,0.54,1.00,0.54,0.35,0.81,0.42,0.42,0.81,0.65,0.27"
köpa fälgar och däck,140,46,0.98,1.00,5030000,Transactional,"Adwords top, Image pack, Local pack, Site links","0.33,0.52,1.00,1.00,0.67,0.52,0.43,0.67,0.81,0.81,0.52,0.24"
lufttryck däck varning,140,18,0.51,0.78,25400,Informational,"Featured snippet, People also ask, Video","0.28,0.22,0.34,1.00,0.44,0.34,0.34,0.34,0.28,0.44,0.66,0.34"
lågt lufttryck däck,140,20,0.54,0.03,52700,Informational,"Featured snippet, People also ask, Video","0.67,0.67,0.67,0.81,0.67,0.52,0.52,0.81,0.67,0.81,1.00,0.67"
me däck,140,23,0.58,0.27,68,Navigational,"Image pack, Knowledge panel, Reviews, Video carousel, Video","0.08,0.08,0.54,0.54,0.23,0.19,0.23,0.19,0.19,0.44,1.00,0.15"
molkers däck,140,23,0.60,0.26,58,Informational,"Image pack, Knowledge panel, Reviews, Video","0.22,0.13,0.53,1.00,0.53,0.34,0.34,0.28,0.44,0.81,0.81,0.28"
ms däck året runt,140,21,0.52,1.00,95,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews","0.81,0.65,0.54,1.00,0.65,0.42,0.42,0.35,0.54,0.54,1.00,0.42"
måste alla däck vara av samma typ,140,17,0.88,0.03,1080000,Informational,"Featured snippet, People also ask","0.81,0.67,0.67,1.00,0.81,0.81,0.52,0.67,0.67,0.52,0.52,0.33"
nibble däck,140,22,0.55,0.28,78,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.22,0.16,0.44,0.81,0.66,0.28,0.22,0.34,0.34,0.53,1.00,0.44"
nordisk däck import,140,23,0.55,0.16,83,"Navigational, Commercial","Image pack, Local pack, Reviews, Site links, Video","0.27,0.35,1.00,0.81,0.54,0.42,0.35,0.54,0.81,0.81,0.81,0.54"
nydens däck,140,17,0.60,0.17,41,Informational,"Image pack, Knowledge panel, Reviews","0.16,0.22,0.66,1.00,0.44,0.28,0.28,0.28,0.22,0.53,1.00,0.22"
pumpa däck,140,19,0.60,1.00,305000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Video carousel, Video","0.67,0.52,0.67,1.00,1.00,0.67,0.67,0.52,0.67,0.81,0.81,0.67"
se däck,140,50,0.61,0.18,14500000,"Navigational, Commercial","Local pack, Reviews, Site links","0.18,0.05,0.44,0.82,0.28,0.23,0.18,0.18,0.28,1.00,0.44,0.18"
skara däck och fälg,140,14,0.51,0.15,78,Informational,"Image pack, Knowledge panel, Reviews","0.16,0.16,0.66,1.00,0.44,0.28,0.34,0.34,0.22,0.44,1.00,0.22"
skifta däck pris,140,18,0.58,0.59,32600,Transactional,"FAQ, Featured snippet, Local pack, People also ask, Reviews","0.18,0.13,0.67,0.67,0.28,0.08,0.08,0.10,0.18,0.67,1.00,0.18"
sköndals däck,140,15,0.79,0.12,57,Transactional,"Image pack, Knowledge panel, Reviews","0.22,0.13,0.81,0.81,0.34,0.28,0.22,0.09,0.22,1.00,1.00,0.16"
slänga däck med fälg,140,18,0.89,0.03,39300,Informational,"Featured snippet, People also ask","0.27,0.27,0.54,0.81,0.65,0.42,0.54,0.65,0.65,0.81,1.00,0.42"
spölands däck,140,14,0.57,0.23,44,Informational,"Image pack, Knowledge panel, Reviews","0.13,0.16,0.34,1.00,0.81,0.28,0.34,0.28,0.44,0.81,0.28,0.16"
star performer däck,140,19,0.54,1.00,30,Informational,"Featured snippet, Reviews, Video","0.13,0.28,1.00,0.82,0.44,0.28,0.28,0.23,0.28,0.28,0.28,0.13"
svenska bil & däck ab,140,23,0.57,0.10,74,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.65,1.00,0.82,0.65,0.82,0.82,1.00,1.00,1.00,0.82,0.82,0.53"
svärds däck,140,22,0.59,0.14,78,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.28,0.22,1.00,1.00,0.44,0.22,0.09,0.09,0.34,0.81,1.00,0.28"
sätra däck,140,17,0.62,0.25,76,Informational,"FAQ, Image pack, Knowledge panel, Reviews","0.23,0.10,0.36,0.82,0.44,0.36,0.36,0.28,0.23,0.44,1.00,0.36"
ug däck,140,20,0.56,0.18,67,Navigational,"Adwords bottom, Image pack, Knowledge panel, Reviews, Site links","0.18,0.08,0.28,0.82,0.54,0.36,0.54,0.28,0.36,1.00,0.54,0.18"
varbergs däck,140,20,0.51,0.08,76,Navigational,"Image pack, Knowledge panel, Reviews, Site links, Video","0.10,0.06,0.54,0.67,0.23,0.29,0.29,0.15,0.15,0.35,1.00,0.19"
vega däck,140,16,0.68,0.12,89,Informational,"Image pack, Knowledge panel, Video","0.18,0.13,0.54,0.82,0.23,0.23,0.18,0.18,0.13,0.54,1.00,0.23"
väla däck,140,24,0.65,0.11,72,Navigational,"Image pack, Local pack, People also ask, Reviews, Site links, Video carousel","0.34,0.28,0.44,0.81,0.44,0.34,0.34,0.34,0.28,0.34,1.00,0.53"
värsås däck,140,17,0.51,0.39,86,Informational,"FAQ, Image pack, Knowledge panel, Reviews","0.27,0.35,0.81,1.00,0.42,0.35,0.65,0.42,0.42,0.42,0.65,0.19"
wallins däck,140,25,0.55,0.18,47,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.54,0.42,0.65,0.81,0.65,0.42,0.35,0.35,0.27,0.42,1.00,0.35"
åströms däck,140,12,0.55,0.21,46,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.23,0.18,0.67,1.00,0.36,0.44,0.36,0.36,0.13,0.08,0.23,0.08"
återvinning däck,140,18,0.82,0.15,267000,Informational,"Adwords top, Featured snippet, Local pack, People also ask","0.65,0.53,0.82,1.00,0.82,0.65,0.65,0.82,0.65,1.00,0.82,0.53"
10 tums däck,110,10,0.50,1.00,403000,Commercial,"Image pack, Reviews, Shopping ads, Video","0.53,0.53,0.65,0.82,1.00,0.82,1.00,0.82,0.82,0.82,0.65,0.41"
35 tums däck,110,10,0.53,1.00,97,Informational,"Image pack, Reviews, Video","0.67,0.52,1.00,0.67,0.52,0.43,0.43,0.43,0.52,0.52,0.52,0.43"
4.00 8 däck,110,14,0.53,1.00,88,Commercial,"Image pack, Reviews, Shopping ads","0.24,0.19,0.67,0.81,1.00,0.67,0.67,0.43,0.43,0.43,0.24,0.14"
a däck uppsala,110,15,0.50,0.41,1410000,Commercial,"Local pack, Reviews, Video","0.24,0.43,0.67,1.00,0.52,0.33,0.33,0.33,0.33,0.52,0.81,0.19"
atv däck jula,110,21,0.57,1.00,44,"Navigational, Transactional","Image pack, Reviews, Site links, Video","1.00,0.53,0.82,0.82,1.00,0.53,0.53,0.53,0.65,0.65,0.53,0.53"
audi däck,110,25,0.61,0.99,66,Informational,"Featured snippet, People also ask, Video","0.65,0.41,1.00,0.82,0.65,0.53,0.53,0.53,0.41,0.65,0.53,0.41"
balansera däck pris mekonomen,110,21,0.55,0.39,59,Transactional,"Featured snippet, Image pack, People also ask, Reviews, Video","0.19,0.12,0.65,1.00,0.42,0.35,0.35,0.35,0.35,0.54,0.65,0.19"
balansera däck själv,110,17,0.50,1.00,43900,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel","0.27,0.19,0.81,1.00,0.42,0.27,0.35,0.42,0.19,0.27,0.42,0.15"
bildemo uppsala däck,110,23,0.75,0.37,76,"Navigational, Transactional","Image pack, Knowledge panel, Reviews, Site links","0.06,0.53,1.00,0.65,0.82,0.29,0.18,0.12,0.53,0.06,0.06,0.06"
billiga däck malmö,110,14,0.54,1.00,90,Commercial,"Image pack, Local pack, Reviews, Site links, Video","0.35,0.19,0.42,0.65,0.35,0.27,0.42,0.35,0.54,1.00,1.00,0.65"
billiga däck stockholm,110,17,0.59,1.00,303000,Commercial,"Featured snippet, Local pack, People also ask, Site links","0.02,0.02,0.29,0.19,0.02,0.02,0.24,0.02,0.02,1.00,0.29,0.03"
bolanders däck,110,20,0.53,0.13,55,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.33,0.43,1.00,1.00,0.67,0.43,0.43,0.43,0.33,0.67,1.00,0.33"
brodalens däck,110,22,0.75,0.09,45,"Informational, Navigational","Adwords bottom, Image pack, Knowledge panel, Reviews","0.18,0.13,0.44,0.67,0.36,0.13,0.10,0.18,0.13,0.23,1.00,0.28"
byta däck bil,110,,0.80,0.30,,,,"0.15,0.15,0.42,0.54,0.27,0.19,0.19,0.27,0.42,1.00,0.81,0.27"
byta däck elscooter,110,8,1.14,0.99,85,Informational,"FAQ, Image pack, Local pack, People also ask, Reviews, Video carousel","0.14,0.14,0.43,0.43,0.52,0.81,1.00,0.81,0.81,0.67,0.43,0.14"
byta däck haninge,110,17,0.68,0.40,95,Commercial,"FAQ, Featured snippet, Image pack, Local pack, People also ask, Reviews","0.15,0.02,0.23,0.67,0.29,0.15,0.06,0.04,0.04,0.29,1.00,0.10"
byta däck kostnad,110,,0.58,0.40,,,,"0.19,0.19,0.42,1.00,0.35,0.19,0.19,0.19,0.27,0.42,1.00,0.27"
byta däck kristianstad,110,,0.51,0.23,,,,"0.07,0.02,0.24,0.36,0.12,0.05,0.03,0.03,0.02,0.15,1.00,0.36"
byta däck luleå,110,15,0.75,0.62,79,Commercial,"Image pack, Local pack, People also ask, Reviews, Video","0.02,0.02,0.05,0.44,0.24,0.03,0.07,0.03,0.12,1.00,0.08,0.03"
byta däck mölndal,110,,0.68,0.50,,,,"0.03,0.03,0.19,0.44,0.15,0.07,0.12,0.03,0.03,0.24,1.00,0.15"
byta däck nyköping,110,19,0.81,0.46,89,Commercial,"Featured snippet, Image pack, Local pack, Reviews, Site links","0.06,0.08,0.23,0.67,0.15,0.08,0.10,0.10,0.10,0.23,1.00,0.29"
byta däck partille,110,,0.54,0.37,,,,"0.08,0.08,0.12,0.66,0.12,0.03,0.03,0.02,0.02,0.08,1.00,0.12"
byta däck skövde,110,18,0.75,0.56,82,Commercial,"Image pack, Local pack, People also ask, Reviews","0.10,0.08,0.29,0.54,0.29,0.15,0.06,0.04,0.08,0.29,1.00,0.19"
byta däck sollentuna,110,11,1.02,0.56,70,Commercial,"Adwords top, Featured snippet, Image pack, Local pack, Reviews","0.18,0.10,0.28,0.82,0.36,0.13,0.13,0.03,0.13,0.28,1.00,0.13"
byta däck södertälje,110,16,0.86,0.64,84,Transactional,"Featured snippet, Image pack, Local pack, Reviews","0.13,0.03,0.54,1.00,0.28,0.08,0.08,0.08,0.08,0.23,1.00,0.18"
byta däck varberg,110,10,0.91,0.35,72,Commercial,"Adwords bottom, Image pack, Local pack, Reviews, Video","0.07,0.04,0.19,0.44,0.15,0.07,0.06,0.03,0.03,0.19,1.00,0.13"
byta däck västberga,110,7,0.94,0.39,54,Commercial,"Image pack, Local pack, People also ask, Reviews, Video","0.01,0.06,1.00,0.44,0.01,0.01,0.04,0.01,0.01,0.36,0.24,0.01"
byta däck åkersberga,110,11,0.53,0.56,81,Commercial,"Image pack, Local pack, People also ask, Reviews, Site links","0.07,0.02,0.15,0.81,0.19,0.07,0.03,0.03,0.02,0.19,1.00,0.19"
byta däck östersund,110,14,0.65,0.67,78,Commercial,"Adwords bottom, Adwords top, Image pack, Local pack, People also ask","0.04,0.02,0.15,0.67,0.54,0.15,0.06,0.06,0.10,1.00,0.35,0.06"
byta mc däck,110,13,0.59,1.00,378000,Informational,"Local pack, People also ask, Video carousel","0.19,0.19,1.00,1.00,1.00,0.67,0.52,0.52,0.24,0.19,0.14,0.05"
cp däck till husbil,110,18,0.54,1.00,58,Informational,"Featured snippet, Image pack, People also ask, Reviews","0.41,0.53,1.00,0.82,0.82,0.41,0.41,0.82,0.65,0.65,0.53,0.29"
dubba om däck,110,18,0.60,1.00,99900,Informational,"FAQ, Featured snippet, Image pack, People also ask, Site links, Video carousel","0.35,0.15,0.15,0.15,0.06,0.04,0.04,0.10,0.23,0.81,1.00,0.54"
däck 225 50 r17,110,12,0.52,1.00,43,Commercial,"Image pack, Reviews, Shopping ads","0.12,0.15,0.81,1.00,0.42,0.35,0.35,0.42,0.42,0.35,0.35,0.15"
däck 365 se,110,27,0.74,0.64,21,Navigational,"Image pack, People also ask, Reviews, Site links","0.81,0.54,0.27,0.19,0.19,1.00,0.65,0.42,0.27,0.27,0.27,0.42"
däck arlöv,110,15,0.58,0.09,68,Transactional,"Image pack, Local pack, Reviews, Site links, Video carousel, Video","0.43,0.43,0.43,0.81,0.43,0.33,0.24,0.67,0.33,0.52,1.00,0.67"
däck beteckning,110,26,0.60,0.31,88300,Informational,"Featured snippet, People also ask","0.12,0.12,1.00,0.81,0.65,0.42,0.27,0.27,0.35,0.54,0.54,0.19"
däck bäst i test,110,24,0.75,0.48,96,Commercial,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.16,0.16,1.00,0.66,0.22,0.13,0.16,0.22,0.34,0.44,0.22,0.09"
däck continental,110,22,0.72,1.00,81,Commercial,"Image pack, Local pack, People also ask, Reviews, Site links, Video","0.19,0.35,1.00,0.81,0.54,0.42,0.27,0.35,0.42,0.35,0.42,0.15"
däck guru,110,21,0.57,0.64,26,Navigational,"Image pack, Reviews, Site links","0.27,0.35,1.00,0.81,0.54,0.19,0.27,0.27,0.42,0.54,0.54,0.27"
däck helsingborg berga,110,12,0.58,0.48,67,Commercial,"Image pack, Local pack, Reviews, Site links","0.52,0.24,1.00,0.67,0.52,0.43,0.24,0.67,0.43,0.67,1.00,0.43"
däck husbil,110,17,0.51,1.00,293000,Informational,"Local pack, People also ask, Reviews, Video","0.24,0.33,1.00,0.81,0.81,0.52,0.67,0.81,0.52,0.52,0.24,0.19"
däck johnny hammarö,110,19,0.77,0.11,37,"Informational, Navigational","Image pack, Knowledge panel, Reviews, Site links","0.16,0.06,0.53,1.00,0.22,0.13,0.16,0.16,0.09,0.22,1.00,0.13"
däck järfälla,110,15,0.59,0.19,87,Commercial,"Image pack, Local pack, Reviews, Site links, Video carousel","0.27,0.54,0.54,1.00,0.42,0.35,0.35,0.42,0.35,0.65,1.00,0.35"
däck kalix,110,15,0.51,0.24,88,Commercial,"Image pack, Local pack, Reviews","0.13,0.13,0.13,0.53,0.44,0.28,0.34,0.34,0.34,1.00,0.28,0.06"
däck kista,110,16,0.84,0.13,91,Commercial,"Image pack, Local pack","0.29,0.29,1.00,0.82,0.53,1.00,0.65,0.29,0.41,1.00,0.82,0.53"
däck köping,110,15,1.20,0.42,72,Commercial,"Image pack, Local pack, Reviews, Site links","1.00,1.00,0.29,0.24,0.24,0.82,1.00,0.53,0.41,0.65,0.41,0.41"
däck lerum,110,12,0.66,0.22,97,Commercial,"Local pack, Reviews, Site links","0.35,0.19,0.35,1.00,0.27,0.19,0.19,0.27,0.27,0.65,1.00,0.35"
däck löddeköpinge,110,,0.55,0.07,,,,"0.43,0.33,0.81,0.52,0.43,0.19,0.43,0.24,0.43,0.43,1.00,0.52"
däck monterat och klart,110,23,0.50,0.98,176000,Informational,"People also ask, Reviews, Site links, Video","0.16,0.22,1.00,0.81,0.22,0.22,0.22,0.34,0.16,0.28,0.22,0.09"
däck o fälg billigt,110,49,0.77,1.00,2340000,Commercial,"Featured snippet, Local pack, People also ask, Shopping ads, Site links, Video","1.00,1.00,0.42,0.35,0.27,0.35,0.42,0.15,0.19,0.15,0.35,0.42"
däck och fälg billigt,110,49,0.77,1.00,2900000,Informational,"Featured snippet, People also ask, Site links, Video","0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.19,0.12"
däck online södertälje,110,13,0.63,0.46,93,Informational,"Knowledge panel, Reviews","0.41,0.53,0.65,0.82,0.53,0.53,0.41,0.41,0.41,0.82,1.00,0.65"
däck regler,110,29,0.55,0.21,3000000,Informational,"FAQ, Featured snippet, People also ask, Site links","0.10,0.18,1.00,0.67,0.13,0.13,0.08,0.13,0.18,0.44,0.36,0.10"
däck synonym,110,17,0.59,0.03,61,Informational,"Image pack, Site links","0.44,0.36,0.23,0.28,0.67,0.18,0.13,1.00,0.13,0.13,0.13,0.13"
däck test,110,28,0.88,0.98,1800000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.13,0.22,1.00,1.00,0.22,0.16,0.16,0.16,0.34,0.44,0.28,0.09"
däck tester,110,,0.92,0.78,,,,"0.13,0.22,1.00,1.00,0.22,0.16,0.16,0.16,0.34,0.44,0.28,0.09"
däck till bil,110,51,0.70,0.98,9770000,Commercial,"Local pack, People also ask, Site links","0.33,0.33,0.81,1.00,0.52,0.43,0.52,0.67,0.67,0.67,0.81,0.43"
däck till elbil,110,,0.54,1.00,,,,"0.00,0.00,0.00,0.00,0.06,0.03,1.00,0.15,0.15,0.24,0.29,0.10"
däck tillverkningsår,110,23,0.52,0.17,529000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Video","0.42,0.35,0.42,0.54,0.35,0.19,0.27,0.19,0.42,1.00,1.00,0.42"
däck trelleborg,110,15,0.64,0.58,94,Commercial,"Image pack, Local pack, Reviews, Site links, Video","0.43,0.33,0.67,0.67,0.52,0.43,0.43,0.33,0.43,0.52,1.00,0.81"
däck upplands väsby,110,19,0.57,0.38,91,Commercial,"Featured snippet, Image pack, Local pack, People also ask, Reviews, Site links","0.19,0.27,0.54,1.00,0.54,0.27,0.27,0.19,0.35,0.54,0.42,0.65"
däck utan fälg,110,36,0.54,1.00,566000,Informational,"Featured snippet, Image pack, People also ask, Site links, Video","0.19,0.24,0.52,0.81,0.43,0.24,0.33,0.33,0.43,0.81,1.00,0.43"
däck visby,110,13,0.56,0.21,80,Commercial,"Featured snippet, Image pack, Local pack, People also ask, Reviews, Video","0.33,0.24,0.52,1.00,0.43,0.43,0.81,0.43,0.43,0.43,1.00,0.33"
däck volvo v70,110,21,0.63,1.00,61,Commercial,"FAQ, Image pack, People also ask, Reviews, Video carousel","0.29,0.41,0.82,1.00,0.65,0.53,0.65,0.65,0.53,0.53,0.82,0.29"
däck värnamo,110,10,0.54,0.38,95,Transactional,"Image pack, Local pack, Reviews, Site links","0.53,0.29,1.00,0.82,0.41,0.65,0.82,0.82,0.53,1.00,0.82,0.41"
elsparkcykel däck,110,17,0.52,1.00,49200,Commercial,"FAQ, Local pack, People also ask, Reviews, Shopping ads, Site links, Video carousel","0.14,0.10,0.24,0.52,0.52,0.81,0.81,0.81,1.00,0.81,0.33,0.10"
entreprenad däck gävle,110,21,0.50,1.00,46,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.82,0.65,0.53,1.00,0.65,0.82,0.53,0.53,0.41,0.53,0.53,0.82"
f1 däck,110,18,0.60,0.26,91,Informational,"Image pack, Knowledge panel, People also ask, Reviews, Site links, Video","0.29,0.29,0.53,0.53,0.65,0.65,0.53,0.53,1.00,0.82,0.65,1.00"
frykmalms däck,110,23,0.57,0.25,48,Navigational,"Adwords bottom, Image pack, Knowledge panel, Reviews, Site links, Video","0.06,0.06,0.16,0.53,0.53,0.44,0.53,0.53,0.53,0.22,1.00,0.28"
fälgar med däck,110,48,0.61,1.00,5300000,Commercial,"Local pack, People also ask, Site links, Video","0.53,0.53,1.00,1.00,0.82,0.53,0.65,0.53,0.65,0.65,0.65,0.41"
gamla däck,110,13,0.58,0.12,3720000,Informational,"People also ask, Video","0.53,0.29,0.82,1.00,1.00,0.41,0.53,0.41,0.65,0.82,1.00,0.41"
gt däck tanum,110,,1.04,0.06,,,,"0.19,0.12,0.19,0.81,0.35,0.35,0.42,0.19,0.27,0.42,1.00,0.19"
hisinge bil & däck ab,110,23,0.65,0.11,65,Navigational,"Image pack, Knowledge panel, Reviews, Site links, Video","0.15,0.19,0.42,0.65,0.54,0.42,0.42,0.42,0.35,0.65,1.00,0.65"
hisinge bil och däck,110,23,0.71,0.11,83,Navigational,"Image pack, Knowledge panel, Reviews, Site links, Video","1.00,1.00,1.00,1.00,0.64,0.64,0.36,0.36,0.36,0.79,1.00,0.50"
hur mycket luft ska man ha i däcken,110,,0.57,0.11,,,,"0.09,0.13,0.28,1.00,0.28,0.28,0.34,0.28,0.28,0.34,0.44,0.22"
isracing däck,110,4,0.53,0.14,91,Informational,"Image pack, Shopping ads, Video","0.54,1.00,0.23,0.13,0.08,0.08,0.08,0.18,0.23,0.28,0.44,0.82"
kina däck test,110,19,0.51,0.89,86,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Site links","0.15,0.23,1.00,0.54,0.06,0.04,0.06,0.15,0.15,0.15,0.08,0.02"
kompletta däck,110,25,0.92,1.00,578000,Commercial,"People also ask, Site links","0.52,0.24,0.33,0.33,0.81,0.52,0.33,0.24,0.33,0.43,0.52,1.00"
kronholms däck,110,18,0.72,0.15,35,"Informational, Navigational","Image pack, Knowledge panel, Reviews","0.16,0.16,0.66,0.81,0.44,0.22,0.34,0.22,0.16,0.53,1.00,0.28"
köp billiga däck,110,47,0.84,1.00,625000,Transactional,"Local pack, People also ask, Site links","0.33,0.33,0.67,1.00,0.52,0.43,0.43,0.52,0.67,0.67,0.67,0.33"
köpa billiga däck,110,45,0.84,1.00,492000,Informational,"Featured snippet, Image pack, Local pack, People also ask, Reviews, Site links","0.33,0.33,0.67,1.00,0.52,0.43,0.43,0.52,0.67,0.67,0.67,0.33"
luft i däck,110,18,0.52,0.23,738000,Informational,"Featured snippet, Image pack, People also ask, Site links, Video carousel","0.53,0.65,0.65,1.00,0.65,0.53,0.53,0.41,0.41,0.53,0.65,0.41"
magnusson däck eksjö,110,21,0.54,0.06,69,"Informational, Transactional","FAQ, Image pack, Knowledge panel, Reviews","0.16,0.16,0.53,0.66,0.34,0.22,0.22,0.22,0.09,0.66,1.00,0.16"
magnussons däck eksjö,110,18,0.54,0.06,51,"Informational, Transactional","Image pack, Knowledge panel, Reviews","0.16,0.16,0.53,0.66,0.34,0.22,0.22,0.22,0.09,0.66,1.00,0.16"
mats däck,110,21,0.53,0.26,992000,Navigational,"Knowledge panel, Reviews, Site links, Video","0.24,0.24,0.81,1.00,0.52,0.43,0.43,0.33,0.43,0.67,1.00,0.33"
ms däck billigt,110,41,0.52,1.00,71,Commercial,"FAQ, Image pack, Local pack, People also ask, Shopping ads, Site links","0.35,0.27,0.65,0.54,0.19,0.12,0.12,0.42,0.54,0.81,1.00,0.42"
nelins däck knivsta,110,23,0.59,0.07,57,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.18,0.13,0.28,0.67,0.36,0.18,0.28,0.18,0.23,0.44,1.00,0.23"
nymans däck umeå,110,23,0.64,0.08,63,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.13,0.16,0.22,0.81,0.44,0.34,0.28,0.34,0.44,1.00,0.34,0.22"
nymans däck vänersborg,110,19,0.56,0.14,57,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.08,0.10,1.00,0.67,0.13,0.08,0.08,0.13,0.13,0.28,1.00,0.18"
när måste man byta däck,110,28,0.64,0.20,863000,Informational,"FAQ, Featured snippet, People also ask","0.02,0.06,0.67,1.00,0.10,0.02,0.04,0.04,0.15,0.54,0.35,0.02"
omvandlingstabell däck,110,18,0.62,0.15,6600,Informational,"FAQ, Image pack, People also ask","0.41,0.65,1.00,1.00,0.82,0.53,0.53,0.65,0.65,0.82,0.82,0.53"
omvandlingstabell däck tum mm,110,,0.65,0.14,,,,"0.06,0.18,0.41,0.65,0.65,0.65,0.41,0.53,0.65,1.00,1.00,0.82"
pierres däck,110,,0.61,0.08,,,,"0.15,0.04,0.65,1.00,0.35,0.27,0.42,0.35,0.27,0.81,1.00,0.27"
point s däck,110,9,0.50,1.00,39,Transactional,"FAQ, Image pack, Reviews","0.15,0.19,0.65,1.00,0.65,0.42,0.42,0.42,0.27,0.42,0.35,0.15"
pris däck,110,33,0.52,0.74,7040000,Commercial,"Adwords top, FAQ, Local pack, People also ask, Site links","0.41,0.41,1.00,1.00,0.65,0.53,0.53,0.29,0.41,0.82,0.53,0.24"
ralphs däck trollhättan,110,20,0.55,0.13,64,Transactional,"Image pack, Local pack, Reviews","0.08,0.08,0.54,1.00,0.54,0.35,0.42,0.42,0.42,0.65,0.81,0.35"
roffes däck,110,20,0.58,0.15,59,"Informational, Navigational","Image pack, Knowledge panel, Reviews","0.24,0.33,0.81,0.81,0.33,0.43,0.52,0.33,0.43,0.43,1.00,0.43"
rogers däck tierp,110,17,0.59,0.11,35,Navigational,"Image pack, Knowledge panel, Site links","0.27,0.15,1.00,0.81,0.27,0.35,0.27,0.19,0.19,0.42,1.00,0.27"
rogers däck uppsala,110,22,0.56,0.17,48,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links","0.13,0.08,0.44,0.54,0.36,0.23,0.18,0.18,0.18,0.44,1.00,0.18"
skp däck och fälg,110,17,0.51,0.96,34,Informational,"Image pack, Knowledge panel, Site links","0.82,0.82,0.82,0.82,0.41,0.24,0.29,0.53,0.65,1.00,1.00,0.24"
slitbana däck,110,12,0.57,0.87,32100,Informational,"Image pack, People also ask, Reviews","0.79,0.64,0.64,1.00,0.64,0.64,0.50,1.00,0.79,0.79,0.64,0.64"
strömstad däck o fälg,110,16,0.88,0.29,55,"Informational, Transactional","Image pack, Knowledge panel, Reviews","0.43,0.71,0.14,0.14,0.29,0.14,0.14,1.00,0.00,0.14,1.00,0.14"
strömstad däck och fälg,110,14,0.58,0.43,56,"Informational, Transactional","Adwords bottom, Image pack, Knowledge panel, Reviews","0.13,0.10,0.28,1.00,0.18,0.18,0.23,0.10,0.08,0.36,1.00,0.18"
svanenmärkta däck,110,13,0.53,0.31,89,Informational,"Image pack, People also ask, Reviews","1.00,0.81,0.44,0.03,0.16,0.06,0.06,0.03,0.03,0.03,0.03,0.06"
särö däck,110,21,0.56,0.03,65,Navigational,"Adwords bottom, Image pack, Local pack, Reviews, Site links","0.27,0.15,0.65,1.00,0.42,0.27,0.27,0.27,0.12,0.42,1.00,0.27"
th pettersson däck,110,,0.62,0.32,,,,"0.04,0.08,0.27,0.54,0.65,1.00,0.35,0.08,0.15,0.65,1.00,0.54"
vad är c däck,110,16,0.52,0.88,2660000,Informational,"FAQ, Featured snippet, People also ask","0.65,0.53,1.00,1.00,0.53,0.41,0.53,0.53,0.29,0.65,0.65,0.24"
vilket däck orsakar mest dammpartiklar,110,21,0.59,0.02,29,Informational,"Featured snippet, Image pack, People also ask","0.27,0.35,0.54,0.65,0.42,0.35,0.27,0.19,0.81,1.00,0.81,0.42"
året runt däck test,110,17,0.55,0.77,281000,"Informational, Commercial","FAQ, Featured snippet, People also ask, Reviews, Shopping ads, Video","0.43,0.43,0.81,1.00,0.33,0.24,0.33,0.33,0.33,0.67,0.67,0.43"
